y,Company,ReviewDate,CocoaPercent,CompanyLocation,BeanType,BeanOrigin
3.0,179.0,2013.0,72.0,55.0,11.0,37.0
3.5,115.0,2015.0,72.0,6.0,12.0,4.0
3.0,74.0,2008.0,75.0,14.0,8.0,19.0
3.25,156.0,2011.0,70.0,12.0,6.0,41.0
2.5,349.0,2012.0,65.0,56.0,12.0,47.0
2.0,329.0,2011.0,73.0,56.0,12.0,29.0
2.75,318.0,2008.0,70.0,56.0,12.0,18.0
2.75,7.0,2014.0,65.0,18.0,11.0,60.0
2.75,168.0,2014.0,80.0,7.0,12.0,45.0
3.75,125.0,2015.0,70.0,29.0,6.0,67.0
3.25,155.0,2013.0,72.0,56.0,12.0,18.0
4.0,10.0,2011.0,70.0,56.0,12.0,45.0
2.5,299.0,2014.0,73.0,56.0,11.0,21.0
3.75,127.0,2010.0,72.0,55.0,12.0,19.0
3.5,343.0,2012.0,85.0,7.0,11.0,45.0
2.5,59.0,2014.0,75.0,57.0,12.0,67.0
3.5,328.0,2015.0,74.0,56.0,6.0,18.0
2.0,288.0,2008.0,100.0,14.0,8.0,19.0
3.0,68.0,2016.0,65.0,9.0,11.0,9.0
4.0,97.0,2008.0,75.0,45.0,8.0,51.0
3.75,127.0,2011.0,72.0,55.0,6.0,30.0
3.25,230.0,2012.0,70.0,41.0,12.0,18.0
2.5,242.0,2014.0,70.0,56.0,12.0,3.0
2.5,293.0,2013.0,55.0,39.0,12.0,46.0
3.75,0.0,2012.0,63.0,18.0,12.0,46.0
2.0,358.0,2016.0,62.0,56.0,8.0,69.0
2.75,403.0,2013.0,74.0,7.0,11.0,2.0
3.5,337.0,2017.0,70.0,2.0,12.0,18.0
2.75,27.0,2016.0,70.0,56.0,12.0,19.0
2.75,231.0,2015.0,70.0,56.0,11.0,60.0
3.0,335.0,2015.0,100.0,7.0,11.0,37.0
2.75,193.0,2008.0,75.0,14.0,12.0,19.0
3.0,313.0,2007.0,75.0,14.0,8.0,19.0
3.75,137.0,2015.0,70.0,57.0,12.0,67.0
3.25,337.0,2015.0,65.0,2.0,11.0,37.0
3.0,401.0,2015.0,74.0,56.0,11.0,37.0
3.25,256.0,2011.0,70.0,38.0,12.0,41.0
3.0,11.0,2009.0,70.0,50.0,8.0,23.0
3.0,403.0,2013.0,72.0,7.0,12.0,18.0
3.0,111.0,2012.0,70.0,56.0,12.0,12.0
3.0,167.0,2006.0,61.0,56.0,3.0,63.0
3.25,203.0,2013.0,60.0,18.0,12.0,58.0
3.5,260.0,2015.0,80.0,56.0,12.0,41.0
4.0,0.0,2013.0,70.0,18.0,11.0,67.0
3.0,179.0,2010.0,70.0,55.0,12.0,18.0
2.75,288.0,2012.0,85.0,14.0,12.0,19.0
3.5,328.0,2015.0,73.0,56.0,8.0,45.0
3.5,156.0,2016.0,70.0,12.0,12.0,41.0
3.75,318.0,2015.0,70.0,56.0,12.0,67.0
3.25,343.0,2012.0,70.0,7.0,12.0,28.0
