y,Company,ReviewDate,CocoaPercent,CompanyLocation,BeanType,BeanOrigin
2.5,49.0,2014.0,60.0,56.0,12.0,19.0
3.5,219.0,2008.0,75.0,32.0,11.0,37.0
3.75,19.0,2012.0,72.0,55.0,12.0,9.0
3.75,201.0,2011.0,74.0,56.0,12.0,19.0
3.5,323.0,2008.0,70.0,1.0,8.0,19.0
3.25,18.0,2015.0,70.0,56.0,12.0,27.0
3.25,49.0,2014.0,72.0,56.0,3.0,63.0
3.5,234.0,2015.0,68.0,58.0,11.0,68.0
4.0,40.0,2006.0,75.0,18.0,11.0,67.0
3.25,307.0,2012.0,75.0,56.0,11.0,37.0
2.75,4.0,2009.0,55.0,14.0,8.0,19.0
2.5,265.0,2014.0,70.0,56.0,12.0,18.0
3.25,362.0,2011.0,87.0,56.0,12.0,3.0
3.0,103.0,2007.0,72.0,19.0,11.0,37.0
2.5,214.0,2013.0,65.0,43.0,12.0,49.0
3.5,31.0,2013.0,74.0,4.0,6.0,67.0
3.25,364.0,2015.0,70.0,56.0,12.0,19.0
3.0,135.0,2016.0,68.0,19.0,6.0,67.0
3.75,247.0,2012.0,66.0,18.0,12.0,40.0
3.5,302.0,2006.0,75.0,18.0,8.0,51.0
3.5,155.0,2014.0,70.0,56.0,8.0,46.0
3.75,100.0,2008.0,70.0,1.0,6.0,67.0
3.25,398.0,2016.0,65.0,2.0,12.0,63.0
3.75,239.0,2013.0,70.0,2.0,11.0,43.0
1.5,124.0,2006.0,70.0,4.0,12.0,63.0
2.75,194.0,2009.0,70.0,18.0,12.0,63.0
3.25,47.0,2015.0,70.0,44.0,12.0,19.0
2.0,187.0,2006.0,71.0,56.0,11.0,23.0
3.0,166.0,2009.0,64.0,29.0,8.0,19.0
3.5,302.0,2006.0,75.0,18.0,11.0,60.0
3.0,5.0,2009.0,70.0,34.0,6.0,40.0
3.5,294.0,2009.0,67.0,56.0,11.0,37.0
3.25,90.0,2009.0,60.0,50.0,12.0,63.0
2.75,167.0,2013.0,65.0,56.0,12.0,41.0
3.5,40.0,2011.0,75.0,18.0,12.0,4.0
3.75,343.0,2012.0,70.0,7.0,12.0,29.0
3.0,56.0,2011.0,72.0,56.0,12.0,18.0
3.0,326.0,2007.0,62.0,56.0,12.0,63.0
3.75,343.0,2014.0,70.0,7.0,8.0,46.0
3.5,46.0,2014.0,72.0,2.0,12.0,19.0
3.0,393.0,2014.0,70.0,56.0,8.0,46.0
3.25,229.0,2012.0,72.0,56.0,12.0,35.0
3.25,332.0,2015.0,82.0,10.0,12.0,12.0
2.5,263.0,2012.0,71.0,31.0,11.0,25.0
2.75,228.0,2014.0,70.0,9.0,12.0,9.0
2.75,177.0,2009.0,70.0,28.0,12.0,18.0
2.75,65.0,2008.0,77.0,14.0,8.0,19.0
2.75,0.0,2014.0,70.0,18.0,6.0,67.0
3.25,94.0,2016.0,75.0,7.0,12.0,40.0
2.75,0.0,2015.0,70.0,18.0,12.0,59.0
3.0,393.0,2012.0,70.0,56.0,12.0,12.0
2.75,170.0,2014.0,55.0,14.0,11.0,19.0
2.5,177.0,2009.0,70.0,28.0,12.0,33.0
3.25,238.0,2010.0,70.0,56.0,12.0,18.0
3.5,234.0,2012.0,78.0,58.0,11.0,68.0
1.75,179.0,2013.0,100.0,55.0,11.0,55.0
4.0,14.0,2007.0,70.0,29.0,6.0,67.0
3.25,209.0,2015.0,70.0,56.0,12.0,16.0
3.5,343.0,2011.0,70.0,7.0,10.0,3.0
2.5,116.0,2016.0,70.0,48.0,8.0,62.0
3.0,99.0,2015.0,75.0,56.0,11.0,37.0
2.75,255.0,2015.0,70.0,56.0,12.0,32.0
3.5,3.0,2011.0,72.0,16.0,11.0,21.0
2.75,244.0,2015.0,80.0,23.0,12.0,20.0
3.0,202.0,2016.0,70.0,30.0,6.0,46.0
2.75,111.0,2014.0,70.0,56.0,12.0,35.0
2.75,238.0,2010.0,81.0,56.0,6.0,67.0
3.75,152.0,2014.0,70.0,57.0,12.0,67.0
3.75,201.0,2010.0,74.0,56.0,12.0,18.0
2.75,381.0,2009.0,72.0,32.0,11.0,37.0
3.5,299.0,2014.0,73.0,56.0,12.0,19.0
3.0,392.0,2016.0,74.0,56.0,6.0,67.0
3.75,343.0,2016.0,70.0,7.0,11.0,41.0
3.5,396.0,2015.0,70.0,56.0,11.0,2.0
2.75,44.0,2015.0,80.0,56.0,12.0,37.0
3.5,115.0,2015.0,65.0,6.0,12.0,4.0
3.75,347.0,2016.0,70.0,2.0,12.0,19.0
2.75,179.0,2015.0,70.0,55.0,12.0,55.0
3.25,383.0,2012.0,70.0,56.0,12.0,8.0
2.75,96.0,2010.0,77.0,56.0,11.0,67.0
3.5,179.0,2012.0,66.0,55.0,11.0,37.0
2.75,304.0,2012.0,73.0,29.0,12.0,67.0
3.0,92.0,2009.0,70.0,7.0,12.0,4.0
2.75,356.0,2015.0,70.0,53.0,6.0,54.0
3.0,267.0,2006.0,71.0,4.0,6.0,67.0
3.25,154.0,2014.0,68.0,56.0,12.0,41.0
3.25,105.0,2012.0,67.0,2.0,11.0,21.0
3.5,121.0,2013.0,76.0,56.0,12.0,19.0
2.5,349.0,2012.0,70.0,56.0,12.0,47.0
3.0,348.0,2013.0,70.0,54.0,6.0,3.0
3.5,10.0,2007.0,70.0,56.0,11.0,37.0
3.75,0.0,2014.0,70.0,18.0,6.0,67.0
3.5,207.0,2012.0,70.0,6.0,8.0,4.0
3.25,315.0,2016.0,70.0,49.0,12.0,12.0
2.5,169.0,2007.0,77.0,19.0,8.0,19.0
3.0,179.0,2011.0,65.0,55.0,11.0,55.0
3.5,230.0,2014.0,85.0,41.0,12.0,9.0
3.0,402.0,2012.0,72.0,46.0,12.0,46.0
3.0,155.0,2011.0,74.0,56.0,11.0,37.0
2.5,300.0,2012.0,76.0,56.0,12.0,18.0
2.5,65.0,2008.0,77.0,14.0,8.0,19.0
2.75,307.0,2015.0,75.0,56.0,8.0,10.0
2.75,105.0,2014.0,83.0,2.0,11.0,64.0
3.25,130.0,2015.0,70.0,56.0,11.0,67.0
2.75,143.0,2011.0,62.0,56.0,12.0,63.0
3.75,54.0,2015.0,72.0,9.0,12.0,9.0
2.75,376.0,2014.0,74.0,56.0,12.0,41.0
3.5,67.0,2015.0,72.0,10.0,12.0,12.0
2.5,154.0,2012.0,70.0,56.0,6.0,46.0
2.5,143.0,2011.0,62.0,56.0,12.0,67.0
3.5,79.0,2015.0,70.0,49.0,11.0,38.0
2.75,288.0,2008.0,65.0,14.0,8.0,19.0
3.5,153.0,2015.0,70.0,4.0,12.0,12.0
3.0,35.0,2010.0,70.0,56.0,11.0,37.0
3.5,234.0,2012.0,74.0,58.0,11.0,68.0
3.75,151.0,2016.0,67.0,47.0,11.0,57.0
3.0,10.0,2009.0,70.0,56.0,12.0,67.0
3.0,155.0,2012.0,69.0,56.0,11.0,45.0
3.75,59.0,2014.0,70.0,57.0,11.0,67.0
3.5,229.0,2015.0,72.0,56.0,12.0,45.0
3.25,35.0,2009.0,75.0,56.0,11.0,37.0
3.75,399.0,2012.0,62.0,3.0,12.0,18.0
3.25,367.0,2015.0,70.0,30.0,12.0,46.0
3.25,19.0,2010.0,72.0,55.0,11.0,68.0
3.5,343.0,2016.0,62.0,7.0,12.0,16.0
3.5,302.0,2006.0,75.0,18.0,6.0,32.0
3.25,0.0,2013.0,70.0,18.0,12.0,4.0
2.75,220.0,2013.0,70.0,56.0,12.0,29.0
3.25,58.0,2015.0,70.0,30.0,12.0,46.0
3.75,343.0,2011.0,70.0,7.0,8.0,18.0
3.25,244.0,2014.0,70.0,23.0,12.0,41.0
3.0,166.0,2009.0,64.0,29.0,12.0,60.0
2.75,36.0,2008.0,70.0,56.0,11.0,67.0
3.25,203.0,2009.0,68.0,18.0,8.0,23.0
2.25,321.0,2013.0,84.0,56.0,12.0,18.0
3.0,397.0,2016.0,85.0,3.0,6.0,57.0
4.0,343.0,2013.0,70.0,7.0,11.0,34.0
3.5,404.0,2015.0,75.0,56.0,12.0,19.0
3.0,399.0,2010.0,65.0,3.0,12.0,4.0
2.75,261.0,2016.0,68.0,56.0,12.0,57.0
3.5,49.0,2014.0,72.0,56.0,12.0,19.0
2.75,206.0,2015.0,75.0,18.0,11.0,37.0
3.75,123.0,2009.0,70.0,56.0,12.0,29.0
2.75,121.0,2012.0,72.0,56.0,11.0,2.0
3.5,159.0,2015.0,80.0,19.0,11.0,16.0
3.5,111.0,2014.0,70.0,56.0,12.0,19.0
3.75,125.0,2008.0,70.0,29.0,3.0,63.0
3.25,315.0,2016.0,70.0,49.0,12.0,12.0
3.0,357.0,2011.0,70.0,24.0,12.0,67.0
2.75,359.0,2013.0,70.0,56.0,12.0,12.0
3.75,375.0,2011.0,63.0,18.0,12.0,18.0
3.0,180.0,2014.0,70.0,7.0,11.0,41.0
3.25,121.0,2011.0,70.0,56.0,12.0,19.0
3.0,255.0,2015.0,70.0,56.0,12.0,16.0
3.5,40.0,2016.0,75.0,18.0,12.0,40.0
3.5,206.0,2015.0,75.0,18.0,8.0,51.0
3.5,337.0,2015.0,70.0,2.0,11.0,37.0
3.5,33.0,2010.0,64.0,54.0,12.0,32.0
2.75,28.0,2010.0,64.0,4.0,12.0,45.0
3.75,219.0,2008.0,70.0,32.0,11.0,37.0
3.25,111.0,2012.0,70.0,56.0,12.0,9.0
3.5,314.0,2012.0,75.0,56.0,11.0,60.0
